marque;cylindree;modele;annee
AJP;125;PR3 125 Enduro Pro;2015
AJP;125;PR3 125 Supermoto;2008
AJP;125;PR3 125 Supermoto;2009
AJP;125;PR3 125 Supermoto;2010
AJP;125;PR3 125 Supermoto;2011
AJP;125;PR3 125 Supermoto;2012
AJP;125;PR3 125 Supermoto;2013
AJP;125;PR3 125 Supermoto;2014
AJP;125;PR3 125 Supermoto;2015
AJP;125;PR3 125 Supermoto Pro;2011
AJP;125;PR4 125 Enduro;2004
AJP;125;PR4 125 Enduro;2005
AJP;125;PR4 125 Enduro;2006
AJP;125;PR4 125 Enduro;2007
AJP;125;PR4 125 Enduro;2008
AJP;125;PR4 125 Enduro;2009
AJP;125;PR4 125 Enduro;2010
AJP;125;PR4 125 Enduro;2011
AJP;125;PR4 125 Supermoto;2004
AJP;125;PR4 125 Supermoto;2005
AJP;125;PR4 125 Supermoto;2006
AJP;125;PR4 125 Supermoto;2007
AJP;125;PR4 125 Supermoto;2008
AJP;125;PR4 125 Supermoto;2009
AJP;125;PR4 125 Supermoto;2010
AJP;125;PR4 125 Supermoto;2011
AJP;125;PR4 125 Supermoto;2012
AJP;125;PR4 125 Supermoto;2013
AJP;125;PR4 125 Supermoto;2014
AJP;125;PR4 125 Supermoto;2015
AJP;200;PR3 200 Enduro Pro;2008
AJP;200;PR3 200 Enduro Pro;2009
AJP;200;PR3 200 Enduro Pro;2010
AJP;200;PR3 200 Enduro Pro;2011
AJP;200;PR3 200 Supermoto Pro;2008
AJP;200;PR3 200 Supermoto Pro;2009
AJP;200;PR3 200 Supermoto Pro;2010
AJP;200;PR3 200 Supermoto Pro;2011
AJP;200;PR4 200 Enduro;2004
AJP;200;PR4 200 Enduro;2005
AJP;200;PR4 200 Enduro;2006
AJP;200;PR4 200 Enduro;2007
AJP;200;PR4 200 Enduro;2008
AJP;200;PR4 200 Enduro;2009
AJP;200;PR4 200 Enduro;2010
AJP;200;PR4 200 Enduro;2011
AJS;125;CR3 125 Regal Raptor;2006
AJS;125;DD 125 E Regal Raptor;2004
AJS;125;DD 125 E Regal Raptor;2005
AJS;125;DD 125 E Regal Raptor;2006
AJS;125;DD 125 E Regal Raptor;2009
AJS;125;DD 125 E Regal Raptor;2010
AJS;125;DD 125 E Regal Raptor;2011
AJS;125;DD 125 E Regal Raptor;2012
AJS;125;DD 125 E Regal Raptor;2013
AJS;125;DD 125 E Regal Raptor;2014
AJS;125;DD 125 E Regal Raptor;2015
AJS;125;JS 125 6C Custom;2012
AJS;125;JS 125 6C Custom;2013
AJS;125;JS 125 6C Custom;2014
AJS;125;JS 125 6C Custom;2015
AJS;125;JS 125 E ECO;2007
AJS;125;JS 125 E ECO;2008
AJS;125;JS 125 E ECO;2009
AJS;125;JS 125 E ECO-2;2009
AJS;125;JS 125 E ECO-2;2010
AJS;125;JS 125 E ECO-2;2011
AJS;125;JS 125 E ECO-2;2012
AJS;125;JS 125 E ECO-2;2013
AJS;125;JS 125 E ECO-2;2014
AJS;125;JS 125 E ECO-2;2015
AJS;125;R7 125 Sport;2014
AJS;125;R7 125 Sport;2015
AJS;250;DD 250 E Regal Raptor;2004
AJS;250;DD 250 E Regal Raptor;2005
AJS;250;DD 250 E Regal Raptor;2006
AJS;250;DD 250 E Regal Raptor;2007
AJS;250;DD 250 E Regal Raptor;2008
AJS;250;DD 250 E Regal Raptor;2009
APRILIA;50;50 Amico;1996
APRILIA;50;50 Amico;1997
APRILIA;50;50 Amico;1998
APRILIA;50;50 Area 51;1998
APRILIA;50;50 Area 51;1999
APRILIA;50;50 Area 51;2000
APRILIA;50;50 Area 51;2001
APRILIA;50;50 Area 51;2002
APRILIA;50;50 Classic;1992
APRILIA;50;50 Classic;1993
APRILIA;50;50 Classic;1994
APRILIA;50;50 Classic;1995
APRILIA;50;50 Classic;1996
APRILIA;50;50 Classic;1997
APRILIA;50;50 Classic;1998
APRILIA;50;50 Classic;1999
APRILIA;50;50 Classic;2000
APRILIA;50;50 Classic;2001
APRILIA;50;50 Gulliver;1995
APRILIA;50;50 Gulliver;1996
APRILIA;50;50 Gulliver;1997
APRILIA;50;50 Gulliver;1998
APRILIA;50;50 H2 Scarabeo Front disc;1993
APRILIA;50;50 H2 Scarabeo Front disc;1994
APRILIA;50;50 H2 Scarabeo Front disc;1995
APRILIA;50;50 H2 Scarabeo Front disc;1996
APRILIA;50;50 H2 Scarabeo Front disc;1997
APRILIA;50;50 Habana;1999
APRILIA;50;50 Habana;2000
APRILIA;50;50 Habana;2001
APRILIA;50;50 Habana;2002
APRILIA;50;50 HS Scarabeo Front drum;1993
APRILIA;50;50 HS Scarabeo Front drum;1994
APRILIA;50;50 HS Scarabeo Front drum;1995
APRILIA;50;50 HS Scarabeo Front drum;1996
APRILIA;50;50 HS Scarabeo Front drum;1997
APRILIA;50;50 Mojito;2004
APRILIA;50;50 Mojito;2006
APRILIA;50;50 Mojito;2007
APRILIA;50;50 Mojito;2008
APRILIA;50;50 Mojito;2009
APRILIA;50;50 Mojito;2010
APRILIA;50;50 Mojito Custom;1999
APRILIA;50;50 Mojito Custom;2000
APRILIA;50;50 Mojito Custom;2001
APRILIA;50;50 Mojito Custom;2002
APRILIA;50;50 Mojito Custom;2003
APRILIA;50;50 Mojito Custom;2004
APRILIA;50;50 Mojito Custom;2005
APRILIA;50;50 Mojito Custom;2006
APRILIA;50;50 Mojito Custom;2007
APRILIA;50;50 Mojito Custom;2008
APRILIA;50;50 Mojito Custom;2009
APRILIA;50;50 Mojito Custom;2010
APRILIA;50;50 Mojito Custom;2011
APRILIA;50;50 Mojito Custom;2012
APRILIA;50;50 Mojito Retro;1999
APRILIA;50;50 Mojito Retro;2000
APRILIA;50;50 Mojito Retro;2001
APRILIA;50;50 Mojito Retro;2002
APRILIA;50;50 Mojito Retro;2003
APRILIA;50;50 Rally Air Cooled;1995
APRILIA;50;50 Rally Air Cooled;1996
APRILIA;50;50 Rally Air Cooled;1997
APRILIA;50;50 Rally Air Cooled;1998
APRILIA;50;50 Rally Air Cooled;1999
APRILIA;50;50 Rally Air Cooled;2000
APRILIA;50;50 Rally Air Cooled;2001
APRILIA;50;50 Rally Air Cooled;2002
APRILIA;50;50 Rally Liquid Cooled;1996
APRILIA;50;50 Rally Liquid Cooled;1997
APRILIA;50;50 Rally Liquid Cooled;1998
APRILIA;50;50 Rally Liquid Cooled;1999
APRILIA;50;50 Rally Liquid Cooled;2000
APRILIA;50;50 RST Scarabeo TGA00/TGB00 4T;2006
APRILIA;50;50 RST Scarabeo TGA00/TGB00 4T;2007
APRILIA;50;50 RST Scarabeo TGA00/TGB00 4T;2008
APRILIA;50;50 RST Scarabeo TGA00/TGB00 4T;2009
APRILIA;50;50 Scarabeo 2T disc rear;1998
APRILIA;50;50 Scarabeo 2T disc rear;1999
APRILIA;50;50 Scarabeo 2T disc rear;2000
APRILIA;50;50 Scarabeo 2T disc rear;2001
APRILIA;50;50 Scarabeo 2T disc rear;2002
APRILIA;50;50 Scarabeo 2T disc rear;2003
APRILIA;50;50 Scarabeo 2T disc rear;2004
APRILIA;50;50 Scarabeo 2T disc rear;2005
APRILIA;50;50 Scarabeo 2T drum rear;1998
APRILIA;50;50 Scarabeo 2T drum rear;1999
APRILIA;50;50 Scarabeo 2T drum rear;2000
APRILIA;50;50 Scarabeo 2T drum rear;2001
APRILIA;50;50 Scarabeo 2T drum rear;2002
APRILIA;50;50 Scarabeo 2T drum rear;2003
APRILIA;50;50 Scarabeo 2T drum rear;2004
APRILIA;50;50 Scarabeo 2T drum rear;2005
APRILIA;50;50 Scarabeo Classic 2T disc rear;1998
APRILIA;50;50 Scarabeo Classic 2T disc rear;1999
APRILIA;50;50 Scarabeo Classic 2T drum rear;1998
APRILIA;50;50 Scarabeo Classic 2T drum rear;1999
APRILIA;50;50 Scarabeo Ditech 2T;2002
APRILIA;50;50 Scarabeo Ditech 2T;2003
APRILIA;50;50 Scarabeo Ditech 2T;2004
APRILIA;50;50 Scarabeo Ditech 2T;2005
APRILIA;50;50 Scarabeo Ditech 2T;2006
APRILIA;50;50 Scarabeo Street 2T;2005
APRILIA;50;50 Scarabeo Street 2T;2006
APRILIA;50;50 Scarabeo Street 2T;2007
APRILIA;50;50 Scarabeo Street 2T;2008
APRILIA;50;50 Scarabeo Street 2T;2009
APRILIA;50;50 Scarabeo Street 2T;2010
APRILIA;50;50 Scarabeo TG000 4T;2002
APRILIA;50;50 Scarabeo TG000 4T;2003
APRILIA;50;50 Scarabeo TG000 4T;2004
APRILIA;50;50 Scarabeo TG000 4T;2005
APRILIA;50;50 Scarabeo TG000 4T;2006
APRILIA;50;50 Sonic;1998
APRILIA;50;50 Sonic;1999
APRILIA;50;50 Sonic;2000
APRILIA;50;50 Sonic;2001
APRILIA;50;50 Sonic;2002
APRILIA;50;50 Sonic;2003
APRILIA;50;50 Sonic;2004
APRILIA;50;50 Sonic;2005
APRILIA;50;50 Sonic;2006
APRILIA;50;50 Sonic;2007
APRILIA;50;50 Sonic;2008
APRILIA;50;50 Sport City One 2T;2008
APRILIA;50;50 Sport City One 2T;2009
APRILIA;50;50 Sport City One 2T;2010
APRILIA;50;50 Sport City One 2T;2011
APRILIA;50;50 Sport City One 2T;2012
APRILIA;50;50 Sport City One 4T;2008
APRILIA;50;50 Sport City One 4T;2009
APRILIA;50;50 Sport City One 4T;2010
APRILIA;50;50 Sport City One 4T;2011
APRILIA;50;50 Sport City One 4T;2012
APRILIA;50;50 Tuono;2003
APRILIA;50;50 Tuono;2004
APRILIA;50;50 Tuono;2005
APRILIA;50;50 Wind;1988
APRILIA;50;50 Wind;1989
APRILIA;50;50 Wind;1990
APRILIA;50;AE 50 Pegaso 2 pads both same shape modification A;1992
APRILIA;50;AE 50 Pegaso 2 pads both same shape modification A;1993
APRILIA;50;AE 50 Pegaso 2 pads both same shape modification A;1994
APRILIA;50;AE 50 Pegaso 2 pads both same shape modification A;1995
APRILIA;50;AE 50 Pegaso Pad with hook on one side modification B;1992
APRILIA;50;AE 50 Pegaso Pad with hook on one side modification B;1993
APRILIA;50;AE 50 Pegaso Pad with hook on one side modification B;1994
APRILIA;50;AE 50 Pegaso Pad with hook on one side modification B;1996
APRILIA;50;AE 50 Red Rose;1992
APRILIA;50;AE 50 RXR;1992
APRILIA;50;AE 50 RXR;1993
APRILIA;50;AE 50 RXR;1994
APRILIA;50;AE 50 RXR;1995
APRILIA;50;AF1 50 Europa;1990
APRILIA;50;AF1 50 Europa;1991
APRILIA;50;AF1 50 Europa;1992
APRILIA;50;AF1 50 Futura;1990
APRILIA;50;AF1 50 Futura;1991
APRILIA;50;AF1 50 Futura;1992
APRILIA;50;AF1 50 Projet;1988
APRILIA;50;AF1 50 Projet;1989
APRILIA;50;AF1 50 Replica;1988
APRILIA;50;AF1 50 Replica;1989
APRILIA;50;AF1 50 Replica;1990
APRILIA;50;AF1 50 Replica;1991
APRILIA;50;AF1 50 Replica;1992
APRILIA;50;AF1 50 Sintesi;1989
APRILIA;50;ETX 50;1987
APRILIA;50;MX 50;2003
APRILIA;50;MX 50;2004
APRILIA;50;MX 50;2005
APRILIA;50;RS 50;1993
APRILIA;50;RS 50;1994
APRILIA;50;RS 50;1995
APRILIA;50;RS 50;1996
APRILIA;50;RS 50;1997
APRILIA;50;RS 50;1998
APRILIA;50;RS 50;1999
APRILIA;50;RS 50;2000
APRILIA;50;RS 50;2001
APRILIA;50;RS 50;2002
APRILIA;50;RS 50;2003
APRILIA;50;RS 50;2004
APRILIA;50;RS 50;2005
APRILIA;50;RS 50;2006
APRILIA;50;RS 50;2007
APRILIA;50;RS 50;2008
APRILIA;50;RS 50;2009
APRILIA;50;RS 50;2010
APRILIA;50;RS 50;2011
APRILIA;50;RS4 50 AJP Calipers;2011
APRILIA;50;RS4 50 AJP Calipers;2012
APRILIA;50;RS4 50 AJP Calipers;2013
APRILIA;50;RS4 50 AJP Calipers;2014
APRILIA;50;RS4 50 AJP Calipers;2015
APRILIA;50;RS4 50 AJP Calipers;2016
APRILIA;50;RS4 50 AJP Calipers;2017
APRILIA;50;RS4 50 J.Juan Calipers;2011
APRILIA;50;RS4 50 J.Juan Calipers;2012
APRILIA;50;RS4 50 J.Juan Calipers;2013
APRILIA;50;RS4 50 J.Juan Calipers;2014
APRILIA;50;RS4 50 J.Juan Calipers;2015
APRILIA;50;RS4 50 J.Juan Calipers;2016
APRILIA;50;RS4 50 J.Juan Calipers;2017
APRILIA;50;RS4 50 J.Juan Calipers;2018
APRILIA;50;RS4 50 J.Juan Calipers;2019
APRILIA;50;RS4 50 J.Juan Calipers;2020
APRILIA;50;RX 50;1991
APRILIA;50;RX 50;1992
APRILIA;50;RX 50;1993
APRILIA;50;RX 50;1994
APRILIA;50;RX 50;1995
APRILIA;50;RX 50;1996
APRILIA;50;RX 50;1997
APRILIA;50;RX 50;1998
APRILIA;50;RX 50;1999
APRILIA;50;RX 50;2000
APRILIA;50;RX 50;2001
APRILIA;50;RX 50;2006
APRILIA;50;RX 50;2007
APRILIA;50;RX 50;2008
APRILIA;50;RX 50;2009
APRILIA;50;RX 50;2010
APRILIA;50;RX 50;2011
APRILIA;50;RX 50;2012
APRILIA;50;RX 50;2013
APRILIA;50;RX 50;2014
APRILIA;50;RX 50;2015
APRILIA;50;RX 50;2016
APRILIA;50;RX 50;2017
APRILIA;50;RX 50;2018
APRILIA;50;RX 50;2019
APRILIA;50;RX 50;2020
APRILIA;50;RX 50 C;1995
APRILIA;50;RX 50 C;1996
APRILIA;50;RX 50 C;1997
APRILIA;50;RX 50 C;1998
APRILIA;50;RX 50 C;1999
APRILIA;50;RX 50 C;2000
APRILIA;50;RX 50 C;2001
APRILIA;50;RX 50 C;2002
APRILIA;50;RX 50 C;2003
APRILIA;50;RX 50 C;2004
APRILIA;50;RX 50 Factory;2020
APRILIA;50;RX 50 Racing;2002
APRILIA;50;RX 50 Racing;2003
APRILIA;50;RX 50 Racing;2004
APRILIA;50;RX 50 Racing;2005
APRILIA;50;RX 50 Racing;2006
APRILIA;50;SR 50;1997
APRILIA;50;SR 50;1998
APRILIA;50;SR 50;1999
APRILIA;50;SR 50;2000
APRILIA;50;SR 50;2001
APRILIA;50;SR 50;2002
APRILIA;50;SR 50;2003
APRILIA;50;SR 50 Air Cooled;1993
APRILIA;50;SR 50 Air Cooled;1994
APRILIA;50;SR 50 Air Cooled;1995
APRILIA;50;SR 50 Air Cooled;1996
APRILIA;50;SR 50 Factory;2004
APRILIA;50;SR 50 Factory;2005
APRILIA;50;SR 50 Factory;2006
APRILIA;50;SR 50 Factory;2007
APRILIA;50;SR 50 Factory;2008
APRILIA;50;SR 50 Factory;2009
APRILIA;50;SR 50 Factory;2010
APRILIA;50;SR 50 Factory;2011
APRILIA;50;SR 50 Factory;2012
APRILIA;50;SR 50 Factory;2013
APRILIA;50;SR 50 Factory;2014
APRILIA;50;SR 50 H2O rear disc;2000
APRILIA;50;SR 50 H2O rear disc;2001
APRILIA;50;SR 50 H2O rear disc;2002
APRILIA;50;SR 50 H2O rear disc;2003
APRILIA;50;SR 50 H2O rear drum;2000
APRILIA;50;SR 50 H2O rear drum;2001
APRILIA;50;SR 50 H2O rear drum;2002
APRILIA;50;SR 50 H2O rear drum;2003
APRILIA;50;SR 50 Liquid Cooled;1994
APRILIA;50;SR 50 Liquid Cooled;1995
APRILIA;50;SR 50 Liquid Cooled;1996
APRILIA;50;SR 50 Motard;2012
APRILIA;50;SR 50 Motard;2013
APRILIA;50;SR 50 Motard;2014
APRILIA;50;SR 50 Motard;2015
APRILIA;50;SR 50 Motard;2016
APRILIA;50;SR 50 Motard 4T;2013
APRILIA;50;SR 50 Motard 4T;2014
APRILIA;50;SR 50 Motard 4T;2015
APRILIA;50;SR 50 Motard 4T;2016
APRILIA;50;SR 50 R;2004
APRILIA;50;SR 50 R;2005
APRILIA;50;SR 50 R;2006
APRILIA;50;SR 50 R;2007
APRILIA;50;SR 50 R;2008
APRILIA;50;SR 50 R;2009
APRILIA;50;SR 50 R;2010
APRILIA;50;SR 50 R;2013
APRILIA;50;SR 50 R;2014
APRILIA;50;SR 50 R;2015
APRILIA;50;SR 50 R Factory;2011
APRILIA;50;SR 50 R Factory;2012
APRILIA;50;SR 50 R SBK Alitalia Replica;2010
APRILIA;50;SR 50 R SBK Alitalia Replica;2011
APRILIA;50;SR 50 Stealth Racing LC rear disc;1997
APRILIA;50;SR 50 Stealth Racing LC rear disc;1998
APRILIA;50;SR 50 Stealth Racing LC rear disc;1999
APRILIA;50;SR 50 Stealth Racing Liquid Cooled;1997
APRILIA;50;SR 50 Stealth Racing Liquid Cooled;1998
APRILIA;50;SR 50 Stealth Racing Liquid Cooled;1999
APRILIA;50;SR 50 Street Liquid Cooled;2003
APRILIA;50;SR 50 Street Liquid Cooled;2004
APRILIA;50;SR 50 Street Liquid Cooled;2005
APRILIA;50;SR 50 Street Liquid Cooled;2006
APRILIA;50;SR 50 Street Liquid Cooled;2007
APRILIA;50;SR 50 Street Liquid Cooled;2008
APRILIA;50;SR 50 Street Liquid Cooled;2009
APRILIA;50;SR 50 Street Liquid Cooled;2010
APRILIA;50;SR 50 Street Liquid Cooled;2011
APRILIA;50;SR 50 Street Liquid Cooled;2012
APRILIA;50;SR 50 Street Liquid Cooled;2013
APRILIA;50;SR 50 Street Liquid Cooled;2014
APRILIA;50;SR 50 Street Liquid Cooled;2015
APRILIA;50;SR 50 Street Liquid Cooled;2016
APRILIA;50;SX 50 Super Motard;2006
APRILIA;50;SX 50 Super Motard;2007
APRILIA;50;SX 50 Super Motard;2008
APRILIA;50;SX 50 Super Motard;2009
APRILIA;50;SX 50 Super Motard;2010
APRILIA;50;SX 50 Super Motard;2011
APRILIA;50;SX 50 Super Motard;2012
APRILIA;50;SX 50 Super Motard;2013
APRILIA;50;SX 50 Super Motard;2014
APRILIA;50;SX 50 Super Motard;2015
APRILIA;50;SX 50 Super Motard;2016
APRILIA;50;SX 50 Super Motard;2017
APRILIA;50;SX 50 Super Motard;2018
APRILIA;50;SX 50 Super Motard;2019
APRILIA;50;SX 50 Super Motard;2020
APRILIA;50;SX 50 Super Motard Factory;2020
APRILIA;100;100 Scarabeo 2T Minarelli;2000
APRILIA;100;100 Scarabeo 2T Yamaha;2000
APRILIA;100;100 Scarabeo 4T;2001
APRILIA;100;100 Scarabeo 4T;2002
APRILIA;100;100 Scarabeo 4T;2003
APRILIA;100;100 Scarabeo 4T;2004
APRILIA;100;100 Scarabeo 4T;2005
APRILIA;100;100 Scarabeo 4T;2006
APRILIA;100;100 Scarabeo 4T;2007
APRILIA;100;100 Scarabeo 4T;2008
APRILIA;100;100 Scarabeo 4T;2009
APRILIA;100;100 Scarabeo Net 4T;2010
APRILIA;100;100 Scarabeo Net 4T;2011
APRILIA;100;100 Scarabeo Net 4T;2012
APRILIA;100;100 Scarabeo Net 4T;2013
APRILIA;125;125 Atlantic;2003
APRILIA;125;125 Atlantic;2004
APRILIA;125;125 Atlantic;2005
APRILIA;125;125 Atlantic;2006
APRILIA;125;125 Atlantic;2007
APRILIA;125;125 Atlantic;2008
APRILIA;125;125 Atlantic;2010
APRILIA;125;125 Atlantic;2011
APRILIA;125;125 Atlantic;2012
APRILIA;125;125 Atlantic;2013
APRILIA;125;125 Classic;1995
APRILIA;125;125 Classic;1996
APRILIA;125;125 Classic;1997
APRILIA;125;125 Classic;1998
APRILIA;125;125 Classic;1999
APRILIA;125;125 Classic;2000
APRILIA;125;125 Classic;2001
APRILIA;125;125 GT Scarabeo;2004
APRILIA;125;125 GT Scarabeo;2005
APRILIA;125;125 GT Scarabeo;2006
APRILIA;125;125 Habana;2000
APRILIA;125;125 Habana;2001
APRILIA;125;125 Habana;2002
APRILIA;125;125 IE Scarabeo Light;2009
APRILIA;125;125 IE Scarabeo Light;2010
APRILIA;125;125 IE Scarabeo Light;2011
APRILIA;125;125 IE Scarabeo Light;2012
APRILIA;125;125 Leonardo;1999
APRILIA;125;125 Leonardo;2000
APRILIA;125;125 Leonardo;2001
APRILIA;125;125 Mojito;2003
APRILIA;125;125 Mojito;2004
APRILIA;125;125 Mojito;2005
APRILIA;125;125 Mojito;2006
APRILIA;125;125 Mojito;2007
APRILIA;125;125 Mojito;2008
APRILIA;125;125 Mojito;2009
APRILIA;125;125 Mojito;2010
APRILIA;125;125 Mojito;2011
APRILIA;125;125 Mojito;2012
APRILIA;125;125 Mojito Custom;2003
APRILIA;125;125 Mojito Custom;2004
APRILIA;125;125 Mojito Custom;2005
APRILIA;125;125 Mojito Custom;2006
APRILIA;125;125 Mojito Custom;2007
APRILIA;125;125 Mojito Custom;2008
APRILIA;125;125 Mojito Custom;2009
APRILIA;125;125 Mojito Custom;2010
APRILIA;125;125 Mojito Custom;2011
APRILIA;125;125 Mojito Custom;2012
APRILIA;125;125 Mojito E3;2008
APRILIA;125;125 Pegaso;1991
APRILIA;125;125 Pegaso;1992
APRILIA;125;125 Pegaso;1993
APRILIA;125;125 Pegaso;1994
APRILIA;125;125 Pegaso;1995
APRILIA;125;125 Pegaso;1996
APRILIA;125;125 Pegaso rear disc;1989
APRILIA;125;125 Pegaso rear disc;1990
APRILIA;125;125 Pegaso rear drum;1989
APRILIA;125;125 Pegaso rear drum;1990
APRILIA;125;125 Red Rose;1988
APRILIA;125;125 Red Rose;1989
APRILIA;125;125 Red Rose;1990
APRILIA;125;125 Red Rose;1991
APRILIA;125;125 Red Rose;1992
APRILIA;125;125 Red Rose;1993
APRILIA;125;125 Red Rose;1994
APRILIA;125;125 Red Rose;1995
APRILIA;125;125 Scarabeo Light;2007
APRILIA;125;125 Scarabeo Light;2008
APRILIA;125;125 Scarabeo Light;2009
APRILIA;125;125 Scarabeo Light;2010
APRILIA;125;125 Scarabeo Piaggio;2003
APRILIA;125;125 Scarabeo Piaggio;2004
APRILIA;125;125 Scarabeo Piaggio;2005
APRILIA;125;125 Scarabeo Piaggio;2006
APRILIA;125;125 Scarabeo Rotax;1999
APRILIA;125;125 Scarabeo Rotax;2000
APRILIA;125;125 Scarabeo Rotax;2001
APRILIA;125;125 Scarabeo Rotax;2002
APRILIA;125;125 Scarabeo Rotax;2003
APRILIA;125;125 Scarabeo Rotax;2004
APRILIA;125;125 Sport City;2004
APRILIA;125;125 Sport City;2005
APRILIA;125;125 Sport City;2006
APRILIA;125;125 Sport City;2007
APRILIA;125;125 Sport City;2008
APRILIA;125;125 Sport City Cube;2008
APRILIA;125;125 Sport City Cube;2009
APRILIA;125;125 Sport City Cube;2010
APRILIA;125;125 Sport City Cube;2011
APRILIA;125;125 Sport City Cube;2012
APRILIA;125;125 Sport City One;2008
APRILIA;125;125 Sport City One;2009
APRILIA;125;125 Sport City One;2010
APRILIA;125;125 Sport City One;2011
APRILIA;125;125 Sport City One;2012
APRILIA;125;125 ST Leonardo;2002
APRILIA;125;125 ST Leonardo;2003
APRILIA;125;125 ST Leonardo;2004
APRILIA;125;125 Tuareg;1985
APRILIA;125;125 Tuareg;1986
APRILIA;125;125 Tuareg;1987
APRILIA;125;125 Tuareg;1988
APRILIA;125;125 Tuareg Rally;1989
APRILIA;125;125 Tuareg Rally;1990
APRILIA;125;125 Tuareg Rally;1991
APRILIA;125;125 Tuareg Rally;1992
APRILIA;125;125 Tuareg Rally;1993
APRILIA;125;125 Tuareg Rally;1994
APRILIA;125;125 Tuareg Wind;1988
APRILIA;125;125 Tuareg Wind;1989
APRILIA;125;125 Tuareg Wind;1990
APRILIA;125;125 Tuareg Wind rear disc;1991
APRILIA;125;125 Tuareg Wind rear drum;1991
